1,4,Zluta,na nemrtveho,Drtiva,,bow,hammer3
1,6,Modra,na carodeje,Secna,,bow,sword3
1,3,Zelena,na priseru,Bodna,,bow,spear3
1,7,Jakakoliv,na vsechny,Bomba,,bow,bomb4
1,7,Jakakoliv,na vsechny,Bomba,,bow,bomb1
2,5,Cervena,na demona,Palna,Zbran zahod ale obludu nezabij,bow,broken-bow
1,5,Cervena,na demona,Palna,Nejdriv se prohod s jinym hracem,bow,teleport-bow
1,5,Cervena,na demona,Palna,Nejdriv prohod obludu s jinou,bow,call-bow
2,5,Cervena,na demona,Palna,,bow,bow1
2,5,Cervena,na demona,Palna,,bow,bow2
2,5,Cervena,na demona,Palna,,bow,bow3
2,5,Cervena,na demona,Palna,,bow,bow4
3,5,Cervena,na demona,Palna,,bow,bow5
